name,experience,views,applications,description
Backend Python Engineer,5,35,5,"We are a pioneer in the field of Enhanced Sensory AI, and proud to say that we transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.We proudly serve a diverse client’s portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.We are rapidly expanding globally and are backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.Responsibilities:Serve as a technical domain expert on backend development.Establish design principles with the broader development team.Hands-on web development of production-ready applications at scale.Design and implement efficient and well-engineered solutions.Work closely with data science, product, QA and infrastructure teamsSkillsBack-end: Python, Django with celery. AWS experienceData: Basic SQL and NoSQ-mongodbL, AWS S3Experience:5+ years in backend development5+ years in Python, Django with celery. Extensive AWS experience, including serverless architecturesExperience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)Experience with SQL and NoSQ-mongodbL.Nice to have: Experience in Machine Learning/Deep LearningEducationBachelor’s or Master's in Computer Science, Software Engineering or a related field
      

About Adaptiq

    
      Adaptiq is a technology hub specializing in distributed R&D setup and software-managed services. Our teams create solutions for fast-growing product companies and leading startups from the USA, Israel, and Europe.We specialize in designing and developing platforms, SaaS applications in such domains as cybersecurity, authorization & identity access management, healthcare, and logistics.We dream, think and go bigHeadquartered in Israel with delivery centers in Ukraine, Poland and Romania, we are a remote-first company with more than 100 experts.Adaptiq is about talented people who have ambitions, drive, and who are curious.We work with outstanding people and try to bring WOW factor in everything we do.We always stay human and promote a culture of honesty.
      

Company website:

      https://www.adaptiq.co

DOU company page:

      https://jobs.dou.ua/companies/adaptiq/?from=djinni_job





            Job posted on
            30 October 2023
            



            35 views

              

            
  

            5 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
FS Python + React (80/20),5,114,51,"Key Responsibilities:Backend Development: Design, develop, and maintain high-performance backend systems and APIs using the latest technologies and best practices.Infrastructure as Code (IaC): Implement Infrastructure as Code principles to automate the provisioning and management of infrastructure resources, ensuring scalability and reliability.Cloud Services: Utilize cloud platforms (e.g., AWS, GCP) to build and deploy infrastructure components, including serverless functions, containers, and databases.Performance Optimization: Continuously monitor and optimize backend systems for performance, scalability, and efficiency, identifying and resolving bottlenecks.Security: Implement security best practices to safeguard data and systems, including encryption, access controls, and vulnerability assessments.Database Management: Design and manage databases to store and retrieve data efficiently, considering data modeling, indexing, and query optimization.Qualifications:Bachelor's degree in Computer Science, Software Engineering, or a related field (Master's preferred).3+ years of strong technical background with expertise in relevant programming languages and technologies: React (20%) work and Python 80%Proven experience in backend development, infrastructure design, and management.Strong knowledge of cloud computing platforms and infrastructure automation tools.Experience with containerization and orchestration technologies (e.g., Docker, Kubernetes).Solid understanding of database systems (SQL and NoSQL) and data modeling.Strong problem-solving skills and the ability to work in a collaborative, cross-functional team environment.Excellent communication skills to convey complex technical concepts to non-technical stakeholders.
      

About itsoft

    
      ITSOFT, a world-class software manufacturing solutions provider with a stellar reputation, applies our many years of experience in the IT industry in the development of software, We have the technical know-how to deliver outstanding, high-quality products and services to our esteemed clients locally and internationally. At ITSOFT, we believe our clients are key to the growth of our business, therefore we ensure that every necessary measure is put in place in order to achieve optimum results. We provide services such as planning, designing, testing, implementing, and supporting your application software solutions. Our software manufacturing processes are based on the latest industry standards. Employing our services saves our clients cost and time as well as reduces risk with proven delivery services. ITSOFT boldly asserts that we have a team of accomplished experts in several fields that relate to IT. Our professional developers always guarantee that every project is well-planned using the best methodology, making sure that we meet our clients’ expectations. Every client, startup, or global, is being held in high regard, therefore we ensure that the most capable hands are employed for every project we engage in.
      

Company website:

      itsoft.co.il

DOU company page:

      https://jobs.dou.ua/companies/itsoft/





            Job posted on
            30 October 2023
            



            114 views

              

            
  

            51 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Back-End Python Engineer,5,14,1,"We are a pioneer in the field of Enhanced Sensory AI, and we are proud to say that we have transformed customer and field service sectors. With an impressive portfolio of patents in AI and augmented reality, we introduced the concept of remote visual support to the broader audience.Today, our advanced AI can see, hear, and guide people with visual instructions using smartphones and PCs.We proudly serve a diverse clients portfolio, including global industry leaders such as Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies.. Our AI technology is the result of extensive training on vast datasets, encompassing customer interactions in voice, text, and visuals, enabling pattern recognition and optimal issue resolution.We are rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.Responsibilities:- Serve as a technical domain expert on backend development.- Establish design principles with the broader development team.- Hands-on web development of production-ready applications at scale.- Design and implement efficient and well-engineered solutions.- Work closely with data science, product, QA and infrastructure teams.Skills:- Back-end: Python, Django with celery;- AWS experience;- Data: Basic SQL and NoSQ-mongodbL, AWS S3.Experience- 5+ years in backend development- 5+ years in Python, Django with celery. - Extensive AWS experience, including serverless architectures- Experience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)- Experience with SQL and NoSQ-mongodbL.- Nice to have: Experience in Machine Learning/Deep LearningEducation:- Bachelor’s or Master's in Computer Science, Software Engineering or a related field
      

About Adaptiq

    
      Adaptiq is a technology hub specializing in distributed R&D setup and software-managed services. Our teams create solutions for fast-growing product companies and leading startups from the USA, Israel, and Europe.We specialize in designing and developing platforms, SaaS applications in such domains as cybersecurity, authorization & identity access management, healthcare, and logistics.We dream, think and go bigHeadquartered in Israel with delivery centers in Ukraine, Poland and Romania, we are a remote-first company with more than 100 experts.Adaptiq is about talented people who have ambitions, drive, and who are curious.We work with outstanding people and try to bring WOW factor in everything we do.We always stay human and promote a culture of honesty.
      

Company website:

      https://www.adaptiq.co

DOU company page:

      https://jobs.dou.ua/companies/adaptiq/?from=djinni_job





            Job posted on
            30 October 2023
            



            14 views

              

            
  

            1 application

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Engineer,5,36,2,"TechSee is the leader in Multi-Sensory Generative AI.TechSee has disrupted customer and field service industries. TechSee was the first company to bring remote visual support to the mass market with eight patents on AI and augmented reality.Today TechSee’s multi-sensory generative AI can see, hear, and guide humans with visual instructions all delivered through a smartphone or PC.TechSee supports hundreds of the world's leading companies including Vodafone, Orange, Hitachi, and dozens of Fortune 500 companies. We provide the only AI in the service industry trained on billions of datasets of customer voice, text, and visual interactions to recognize patterns and identify the best way to resolve issues. TechSee is rapidly expanding globally and is backed by leading venture capital firms like Salesforce Ventures, Scale Ventures, and OurCrowd.SkillsBack-end: Python, Django with celery. AWS experienceData: Basic SQL and NoSQ-mongodbL, AWS S3Experience5+ years in backend development5+ years in Python, Django with celery. Extensive AWS experience, including serverless architecturesExperience with CI/CD processes and tools (Jenkins, Docker, Kubernetes)Experience with SQL and NoSQ-mongodbL.Nice to have: Experience in Machine Learning/Deep LearningEducationBachelor’s or Master's in Computer Science, Software Engineering or a related fieldResponsibilities:Serve as a technical domain expert on backend development.Establish design principles with the broader development team.Hands-on web development of production-ready applications at scale.Design and implement efficient and well-engineered solutions.Work closely with data science, product, QA and infrastructure teams
      

About Adaptiq

    
      Adaptiq is a technology hub specializing in distributed R&D setup and software-managed services. Our teams create solutions for fast-growing product companies and leading startups from the USA, Israel, and Europe.We specialize in designing and developing platforms, SaaS applications in such domains as cybersecurity, authorization & identity access management, healthcare, and logistics.We dream, think and go bigHeadquartered in Israel with delivery centers in Ukraine, Poland and Romania, we are a remote-first company with more than 100 experts.Adaptiq is about talented people who have ambitions, drive, and who are curious.We work with outstanding people and try to bring WOW factor in everything we do.We always stay human and promote a culture of honesty.
      

Company website:

      https://www.adaptiq.co

DOU company page:

      https://jobs.dou.ua/companies/adaptiq/?from=djinni_job





            Job posted on
            30 October 2023
            



            36 views

              

            
  

            2 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Backend Developer,2,183,48,"We are the team of developers focused on delivering the high-quality solution to enhance business. Our company provides outsource and outstaff services to reliable constant customers and startups. We prefer to use unique solutions for the best expectations of product’s implementation.Required skills:— Master's/Bachelor's degree in Computer Science or similar;— At least 1,5 + years of commercial experience in software development using Python;— Solid knowledge of OOP;— Strong knowledge of application networking and troubleshooting;— Experience in frameworks - Flask, Django(REST, GraphQL);— Experience with SQL (PostgreSQL) or No-SQL;— Experience in unit/integration testing;— Experience with Docker;— CI/CD;— Experience with version control systems (Git);— Experience with agile development – SCRUM;— Experience with Celery Task Queue;— Experience with Redis, RabbitMQ, Apache Kafka;— Good knowledge of methodologies - Solid, DRY, KISS;— Experience with one of asynchronous frameworks: FastApi, Aiohttp;— Experience with GCP/AWS;— Written and spoken English -  Upper-Intermediate or higher;Management:— Jira;— Confluence;We offer:— Great team and excellent environment, that will help you to improve your soft and hard skills; — Work on complex and interesting projects with awesome clients;— 5-day working week, 8-hour working day, flexible schedule;— Annual Paid vacation — 15 b/days + unpaid vacation;— Paid Sick-leaves — 5 b/days;— Bookkeeping and accounting will be maintained by the professional accountant;— Partial compensation of conferences, courses;— Internal English Speaking club.
      

About Shark Software Company

    
      We are Shark Software — Team of professionals. We focused on developing quality software products for our clients. Shark Software has developed a significant number of successful products. We offer outsourcing and outstaffing services for different markets and businesses in the USA, Europe, Israel, UAE. Our team, together with the client, is moving to a new level of business.
      

Company website:

      https://sharksw.com

DOU company page:

      https://jobs.dou.ua/companies/sharksoftware/





            Job posted on
            30 October 2023
            



            183 views

              

            
  

            48 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Python Developer,5,52,13,"Numerical Technologies is a leading provider of custom software solutions and services specializing in risk, limits, and regulatory capital.Right now, we are looking for a Python Developer to join our team.What will you be doing?You will be joining an international team of experienced developers dedicated to providing best-in-class development and cloud management services to our clients, stakeholders, and partners. You will help us develop new software features, support and maintain the existing ones. You will be writing scalable and fault-tolerant code, debugging programs, and integrating applications with third-party web services. You will provide hands-on expertise to increase the availability, reliability, and efficiency of our products. You will work closely with the client and product manager to understand the system’s functional and non-functional requirements, and contribute to code quality through unit testing, integration testing, code review, and system design using Python to build robust software that aligns with the client’s business needs.What are we looking for?◼️ A strong programming background with Python and OO programming skills◼️ Hands-on experience in backend development using FastApi for frontend components ◼️ Experience of the Agile project management methodology◼️ Good knowledge of Git, Jira, and Confluence◼️ Demonstrated problem solving skills to provide production support of software◼️ Strong communication skills and experience in dealing with both technical and non-technical stakeholders.What additional skills will help you stand out?◼️ Hands-on experience in developing backend, microservices, RESTful API using Python◼️ Experience working at a financial institution◼️ Experience working with cloud platforms (AWS, Azure).We offer:◼️ Competitive compensation depending on experience and skills◼️ Regular assessments and salary reviews◼️ Compensation for sick lists and regular vacations◼️ Health insurance◼️ English classes with native speaker (certified English teachers)◼️ Flexible working schedule◼️ Friendly team and enjoyable working environment.
      

About Numerical Technologies

    
      Numerical Technologies LTD offers software development and consultancy services to financial institutions, including derivative dealers, regional banks, asset managers, central banks, and supranationals. Over the period of 15 years of experience, Numerical Technologies LTD has established itself as a leading provider of analytical and computational software, risk modelling and measurement methodology, open- and closed-source derivatives valuation services for the financial industry.
      

Company website:

      https://www.linkedin.com/company/numerical-technologies-ltd/

DOU company page:

      https://jobs.dou.ua/companies/numerical-technologies-ltd/





            Job posted on
            30 October 2023
            



            52 views

              

            
  

            13 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Scraping Engineer,1,273,42,"Job Description:As a Scraping Engineer at GroupBWT, you will play a crucial role in collecting, processing, and analyzing data from various online sources. If you have a passion for data, a strong background in web scraping technologies, and the desire to work on exciting projects, we want to hear from you.Key Responsibilities:- Design and implement web scraping solutions using tools like Scrapy, Puppeteer or Playwright.- Develop and maintain web scraping scripts and pipelines for data extraction.- Collaborate with the QA team to ensure data quality and integrity.- Optimize scraping processes for efficiency and scalability.- Monitor and troubleshoot scraping processes to ensure reliability.- Work closely with cross-functional teams to understand data requirements and deliver timely results.Requirements:- Bachelor's degree in Computer Science, Information Technology, or a related field (or equivalent work experience).- 1+ year of commercial experience as Scraping Engineer (Data Extraction Engineer or similar) - Proven experience in web scraping and data extraction using Scrapy.- Strong proficiency in working with databases, including SQL and RDBMS.- Proficiency in Python programming and scripting.- Familiarity with data cleaning, transformation, and normalization techniques: XPath, RegEx, NLP. - Experience in reverse engineering and analysis of web applications- Strong attention to detail and a commitment to delivering high-quality results.- Ability to work independently and as part of a collaborative team.- Understanding of risks and problems related to web scraping process- Basic skills of linux system administration. - English level: upper-intermediate. ability to participate in daily calls with teamNice to Have:- Experience with cloud-based platforms such as AWS or Azure.- Knowledge of data visualization tools and techniques.- Familiarity with NoSQL databases.- Proven experience of overcoming any anti-bot protection systemBenefits:-20+ paid vacation days.-Paid sick leaves.-Health expenses reimbursement.-Besides team buildings and meal reimbursement, ask our recruiters to tell us more about other benefits we offer to local and remote workers.
      

About GroupBWT

    
      We are a full-cycle product development service company being on the market since 2009. Working with startups and SMBs we offer wide range of projects to our candidates, including but not limited to:1) Private practice in LA with multiple offices and more than a hundred doctors on board.2) Digital shelf monitoring solution for one of the largest product manufacturers.3) International online banking company with thousands of clients around the world.4) Alternative finance analytics platform for one of the famous UK universities.And many more interesting and challenging projects that are available depending on the skills and experience of the candidate who joins our team.
      

Company website:

      https://groupbwt.com

DOU company page:

      https://jobs.dou.ua/companies/groupbwt/





            Job posted on
            30 October 2023
            



            273 views

              

            
  

            42 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Senior Full Stack Developer - US Web Dev Agency,5,213,62,"We are a small web design and development agency based in Atlanta, GA, USA. We are currently looking to hire a Senior Full Stack (Django+React) engineer to help with further developments and maintenance of an online ordering web application for a quick service restaurant client. The agency supports one large client with a complex application involving an online webapp built mainly in React, as well as API's built on a Python-based Django webserver. The application consists of online API's, an online web app and mobile app, and an infrastructure layer. The client is in the food industry and uses the app to take online orders for their locations across the United States, as well as to power their custom loyalty program. It is based on the Clover Card Payments API ecosystem and has a hardware component with Clover devices at Point of Sale.Additionally, there are some additional development tasks that will need to be handled for our regular website and web app clients at the agency. The candidate needs to be able to manage our outsourced WordPress web developers to accomplish those day-to-day website tasks. This involves everything from lower-end JS and CSS work, to more complicated web app tasks related to web design agency work for our other agency clients on both WordPress and Shopify.Tasks:- Deploy and manage AWS services- Collaborate with UX/UI designers, product owners, back-end developers, and other stakeholders to develop responsive and mobile-friendly web applications- Design and implement front-end components using HTML, CSS, and JavaScript frameworks such as React.- Develop server-side components using programming languages such as Java, Python, Django, AWS etc., and web frameworks such as Django.- Build and optimize database structures and queries to ensure efficient and scalable data storage and retrieval- Ensure seamless integration between the front-end and back-end components of the web application- Conduct thorough testing and debugging of both front-end and back-end code to ensure reliability and securityEnsure compliance with web standards and accessibility guidelines‍Qualifications:- At least 5 years experience in software development- Bachelor's degree in Computer Science, Software Engineering, or a related field- Proven experience as a Full-Stack Developer or similar roleStrong proficiency in both front-end and back-end development (HTML, CSS, JavaScript, Java, Python, etc.)- Familiarity with front-end frameworks/libraries (React, etc.) and web frameworks (Django, etc.)- Knowledge of database management systems (MySQL, PostgreSQL, MongoDB, etc.) and RESTful API design and implementation- Experience with version control tools (Git, SVN, etc.)- Familiarity with agile development methodologies and continuous integration/continuous deployment (CI/CD) pipelines- Strong problem-solving skills and attention to detail- Excellent communication and collaboration skills- Portfolio showcasing previous workLanguages* Excellent spoken and written English* The interview will be conducted entirely in EnglishNice to have* WordPress experience* Digital Marketing Agency experience*Clover ecosystem experienceWorking Conditions* Core working hours: 9 AM - 5 PM EST (Atlanta). Open to some flexibility here but will need at least several hours of overlap with this EST schedule.* Payments made twice a month in USD.* Local public holidays recognized.* Two weeks of paid annual vacation.
      

About Bandicoot Marketing

    
      The growing need for small-to-medium sized businesses to enlist knowledgeable professionals to steward their Web Design/Development and Digital Advertising efforts has led me to found Bandicoot Marketing. We are currently working with local and national clients in over 55 different business verticals creating fresh, modern web spaces, mobile apps, and brand identities that engage users and push toward fulfilling a Call to Action.
      

Company website:

      https://bandicootmarketing.com





            Job posted on
            28 October 2023
            



            213 views

              

            
  

            62 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
ML Engineer,2,232,50,"Smartist is an all-in-one iOS app that allows visual artists to stage their art virtually. We are a fun, hip, trendsetting company looking for a highly motivated ML Engineer.Requirements:– Bachelor's or Master's degree in Computer Science, Mathematics, or a related field– 2+ years of experience in machine learning development and implementation– Strong programming skills in Python, Java, or C++– Experience with machine learning frameworks, such as TensorFlow or PyTorch– Knowledge of data mining, data analysis, and statistical modeling– Excellent problem-solving skills and attention to detail– Strong communication and collaboration skills– Experience with developing machine learning solutions for mobile apps– Familiarity with cloud computing platforms, such as AWS or Google Cloud– Experience with agile software development methodologiesJob description:– Develop and implement machine learning algorithms and models for Smartist's mobile app– Work with product, design, and development teams to identify and prioritize machine learning opportunities– Conduct data analysis to identify trends and insights that inform machine-learning solutions– Evaluate and optimize the performance of machine learning models– Stay up-to-date with the latest machine learning trends, techniques, and tools and apply them to improve our mobile app
      


About Smartist

    
      Meet Smartist, the app that places your artwork in unique, realistic places. We make showcasing your art simple, so selling your art can be, too.
      

Company website:

      https://smartist.app/

DOU company page:

      https://jobs.dou.ua/companies/smartist/





            Job posted on
            27 October 2023
            



            232 views

              

            
  

            50 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python (Django) Developer,3,244,58,"We seek a highly motivated and experienced Python Developer to join our growing team. You will be responsible for designing, developing, and maintaining complex software solutions in Python. You will work closely with the development team to ensure timely delivery of high-quality software products.About the project: Cutting-edge technology projects that provides innovative solutions for the waste management industry: Cutting-edge platform that helps customers efficiently manage their waste and reduce their environmental impact. What you will do:Design, develop and maintain complex software solutions using Python.Write clean, scalable, and maintainable code.Work closely with cross-functional teams to define, design, and ship new features.Perform code reviews and ensure adherence to coding standards.Stay up-to-date with the latest technology trends and best practices.Requirements: 3+ years of developing commercial projects using Python and DjangoExperience with database design and managementAbility to work with the databases (not only through ORM)Excellent problem-solving and analytical skills.Upper-Intermediate English levelExperience with Agile methodologies wll be a plus.We offer: Challenging projects with cutting edge technologiesHighest development standardA talented and skilled team with cross-domain expertiseCompetitive salary in USDPaid vacation and sick leavesMedical insurancePE accounting and supportFriendly atmosphere to rest and share knowledge.
      

About Django Stars

    
      Django Stars is a technical partner for industry leaders for more than 10 years. We do our best for clients and our clients are the best in their niches. No boring projects. No common solutions. We take real challenges where every team member can show off his skills.    Who you areYou are a professional keen on solving complex problems. Perfect code is not enough, you want it to meet business logic and build a product that rocks. A desire to grow and master your skills is what wakes you up in the morning, and IT-sphere variability is not a problem but a motivation for you.Ok, you are the person we are looking for. Now let’s find out why Django Stars is the company you look for.  Our Expertise:- We work with clients from startups to scalable businesses for more than 10 years;- We created products in domains from healthcare and parent-child relations to booking engines and financial technologies;- We build complex products accessible on the web, so we are not only into perfect frameworks’ knowledge but keeping an eye on architecture.   What are we proud of?We helped our client to become the #1 mortgage broker on the Swiss market, developed the world’s #1 booking platform for scuba diving and created complex scheduling and payment software for the U.S. sport businesses.  Our Services:- We do code but our main goal is solving customer problems and project challenges;- We are responsible for development approaches as well as project architecture and infrastructure;- We apply our cross-domain expertise to get the best results as a team.Our services include Web and Mobile development, UX/UI Design, Quality Assurance, Data Science and DevOps.  Why Django Stars?- The biggest Django team in Ukraine and one of the first commercial Django companies in the world (established in 2008); only in-house team members;- Building complex projects in the web from scratch; problem-solving challenges for engineers of any level;- Customers are a part of a team for closer cooperation, so there are business trips possible. Our key clients are based in the U.S., Switzerland and the UK;- Highest development standard: own code style, TDD, CI, code review is a must;- A transparent collaboration process inside and outside the team, we follow Agile/Scrum methodology;- Modern and cozy office in Kyiv downtown, friendly and informal atmosphere;- Competitive salary, medical insurance, paid vacation days, flexible schedule and the ability to partially work remotely;- DOU rating 87/100.   We ARE:- TOP-3 Python & Django Developers,  #1 Web app developer in Switzerland, Top Web & Software Developers in Ukraine, Top Eastern Europe Software & Web Developers according to Clutch.co;- Django and Python community supporters. We are sponsors of Django & Python Foundations, DjangoCon.eu, and Django Girls;- People who share knowledge inside and outside our walls; we have internal events and participate in conferences in Ukraine and abroad.   We ARE NOT:- Into bureaucracy;- Taking one-man projects;- Doing overtimes;- Creating working chaos;- Writing long company profile descriptions :slightly_smiling_face:
      

Company website:

      https://djangostars.com/

DOU company page:

      https://jobs.dou.ua/companies/django-stars/





            Job posted on
            27 October 2023
            



            244 views

              

            
  

            58 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Full Stack Engineer for Eat Club,5,88,9,"About the RoleEAT Club was born in the heart of Silicon Valley and has been providing ""lunch as a benefit"" to leading companies in the United States and Canada for over a decade.We're looking for a Full Stack Engineer to join the team and significantly impact its product, architecture, coding standards, efficiency, and reliability.Responsibilities:🔹 Develop using React, TypeScript, Ionic, Python/Django backend, PostgreSQL, and AWS🔹 Build both consumer experiences and the internal tools powering our logistics pipeline🔹 Work closely with product, engineering, and logistics teams across the company🔹 Contribute to the creation and refinement of our technology architecture and development process to best support our current needs and enable our exciting growth plans🔹 Help identify, plan, and execute opportunities for the engineering team's growth and improvementEssential knowledge, skills & experience:🔹 B.S. or M.S. in Computer Science or equivalent work experience, with a foundation in data structures, algorithms, and software design🔹 Proficiency in Python/Django/SQL🔹 Experience with consumer-facing web applications using React, AngularJS, or a similar framework🔹 6+ years of experience in Full Stack software engineering🔹 Excellent verbal and written communication skills🔹 Self-awareness, a positive attitude, and empathy🔹 Experience in giving and receiving code review feedback🔹 Passionate about building great products, innovation, and solving complex problemsNice-to-have🔹 A history in a fast-paced, Agile startup environment and with shipping code in AWS🔹 Familiarity with writing automated tests for your code (unit tests, integration tests, etc.)🔹 Love of food!Interview Steps🔹 GT interview with Recruiter🔹 Cultural fit interview with EAT Club🔹 Technical interview (live coding)🔹 Reference checkWe go beyond usual perks… By working with us, you will get:🔹 Health insurance🔹 Lunches coverage🔹 Psychotherapy assistance allowance🔹 Gym allowance🔹 Individual educational budget🔹 18 business days of paid vacation days per year.🔹 Paid sick leaves.🔹 All public holidays are paid days off.
      

About GT

    
      GT was founded in 2019 by a former executive from Apple, Nest, and Google. GT’s mission is to connect the world’s best talent with product careers offered by high growth companies in the UK, USA, Canada, Germany and the Netherlands. You will be a dedicated part of the tech team, working directly with product leadership. Our engineers have worked on products with McLaren, Universal Studios, Jaguar Land Rover, Reevoo, SmartXpo, Rio ESG, Eagle Genomics — to name a few.Based in Сanada, Poland, the UK, and Ukraine, GT offers both full remote and flexible opportunities.
      

Company website:

      https://global-talent.breezy.hr/

DOU company page:

      https://jobs.dou.ua/companies/gt/





            Job posted on
            27 October 2023
            



            88 views

              

            
  

            9 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Python Engineer,5,55,9,"Description:This project is focused on the music industry and aims to ensure equitable distribution of earnings among song rights holders. It involves handling extensive data, emphasizing the need for sound system architecture and optimized databases.Technology:- 4-5+ years of experience- Python, Django/DRF, Postgres, MongoDB, Elasticsearch, Celery, SqlAlchemy, Pytest, Vue.js, AWS, Docker.Responsibilities:- Designing APIs- Performance improvement and code optimization- Developing new modules to integrate into the system- Unit tests- PR reviews- Task estimation
      

About SQRD.tech

    
      SQRD.tech is a Full Cycle Software Development House supporting global clients and projects.Dedicated to customers' satisfaction, we constantly strive to improve technical excellence within our company, which has been recognised by clients.We believe in the experience and professionalism of our teams that adapt to any organizational model and work together to succeed.
      

Company website:

      http://sqrd.tech

DOU company page:

      https://jobs.dou.ua/companies/sqrd-tech/





            Job posted on
            27 October 2023
            



            55 views

              

            
  

            9 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
Full-Stack Developer (Python/React),3,63,12,"Matoffo is looking for an experienced Full-Stack Developer (Python/React) to join our team. We welcome those who share our values, striving to grow professionally constantly and make things done.About our clientClient is a US based startup that organizes all info across your digital workspace and provides context for the projects, meetings, and people that matter to you. Product has all of your most important files, documents, conversations, and links organized by client, project, and team. It makes your daily activities much more comfortable.What will you be doing:You will work with other team members to develop and support product functionality to achieve business goals;Maintain code and component library formulated using design patterns;Participate in code review, maintenance and refactoring, meeting new feature requirements and improving existing features;Participate in problem solving in a production environment;You will collaborate with other teams to understand the product vision and meet the requirements by developing the frontend functionality;Performing peer code-reviews and unit testing to ensure high-quality software.We expect from you:3+ years of experience with React, Redux;3+ years of experience with HTML, CSS, and plain JavaScript;3+ years of experience with Python;Experience with TypeScript is mandatory;Solid understanding of the SDLC and tooling (GIT, branching/merging, build systems, CI technologies);Understanding of state management (redux), HOCs, hooks;Experience working with remote data via REST and JSON;Strong knowledge of OOP, design patterns, SOLID;Experience with test driven development;Self-motivation with the ability to work in a team in a fast-paced environment;Ability to work independently, team player with strong communication and interpersonal skills;Ability to discuss and explain complex technical concepts to both engineers and non-engineers;Ability to take extreme ownership over your work. Every day is a challenge to ensure you are performing to the expectations you and your team have agreed upon;An understanding of best practices and a commitment to following them;A positive mindset and can-do attitude;Experience working in an Agile environment;Upper-intermediate or higher English level, both spoken and written.What you get:Flexible working hours;Competitive compensation commensurate with your experience and skills;Modern technologies, popular on the market;Not boring English classes;Interesting customers and projects;Learning and development opportunities along with AWS certification program;An excellent team with a friendly atmosphere.
      

About Matoffo

    
      Matoffo is a cloud native company who visions cloud computing as the home for tech products. Our primary focus is AWS cloud solutions, we are an official AWS Select Tier Services Partner, that demonstrates we have trained and certified teammates, as well as great customer experience. Our team of top-notch engineers specialize in Cloud solutions, we develop scalable cloud native applications, provide DevOps services which facilitate innovations and allow release products faster, build reliable and secure cloud infrastructure for our clients from the US and Europe.
      

Company website:

      https://matoffo.com

DOU company page:

      https://jobs.dou.ua/companies/matoffo/





            Job posted on
            27 October 2023
            



            63 views

              

            
  

            12 applications

          




      To apply for this and other jobs on Djinni
      login
      or
      signup."
